"","BarcodeID","Study","Microbe_TRT","Water_TRT","REP","Date","Date2","Source","TRT_row","AbovegroundBiomass","RootBiomass","otu_sample"
"Mock_Pos","515rcbc150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50439
"PSM_01","515rcbc1","PSM","Microbe_pos","FRESH",1,NA,NA,NA,NA,6.78,0.359,64255
"PSM_03","515rcbc3","PSM","Microbe_pos","FRESH",3,NA,NA,NA,NA,2.44,1.097,55755
"PSM_04","515rcbc4","PSM","Microbe_pos","FRESH",4,NA,NA,NA,NA,2.22,0.299,57487
"PSM_05","515rcbc5","PSM","Microbe_pos","FRESH",5,NA,NA,NA,NA,0.96,0.034,56300
"PSM_06","515rcbc6","PSM","Microbe_pos","FRESH",6,NA,NA,NA,NA,4.48,1.916,52972
"PSM_07","515rcbc7","PSM","Microbe_pos","FRESH",7,NA,NA,NA,NA,1.86,0.785,60355
"PSM_08","515rcbc8","PSM","Microbe_pos","FRESH",8,NA,NA,NA,NA,2.82,0.305,54974
"PSM_09","515rcbc9","PSM","Microbe_pos","FRESH",9,NA,NA,NA,NA,1.14,0.444,67116
"PSM_10","515rcbc10","PSM","Microbe_pos","FRESH",10,NA,NA,NA,NA,1.98,0.564,71642
"PSM_11","515rcbc11","PSM","Microbe_pos","SALT",1,NA,NA,NA,NA,3.48,0.586,62036
"PSM_12","515rcbc12","PSM","Microbe_pos","SALT",2,NA,NA,NA,NA,2.96,1.24,69858
"PSM_13","515rcbc13","PSM","Microbe_pos","SALT",3,NA,NA,NA,NA,2.5,0.838,67575
"PSM_14","515rcbc14","PSM","Microbe_pos","SALT",4,NA,NA,NA,NA,5.44,4.587,66121
"PSM_15","515rcbc15","PSM","Microbe_pos","SALT",5,NA,NA,NA,NA,4.64,0.766,69701
"PSM_16","515rcbc16","PSM","Microbe_pos","SALT",6,NA,NA,NA,NA,2.92,0.495,70342
"PSM_17","515rcbc17","PSM","Microbe_pos","SALT",7,NA,NA,NA,NA,4.4,3.07,63809
"PSM_18","515rcbc18","PSM","Microbe_pos","SALT",8,NA,NA,NA,NA,2.92,0.481,11067
"PSM_20","515rcbc20","PSM","Microbe_pos","SALT",10,NA,NA,NA,NA,1.24,0.195,126292
"PSM_21","515rcbc21","PSM","Microbe_neg","FRESH",1,NA,NA,NA,NA,4.22,2.152,60759
"PSM_22","515rcbc22","PSM","Microbe_neg","FRESH",2,NA,NA,NA,NA,2.22,0.305,56085
"PSM_23","515rcbc23","PSM","Microbe_neg","FRESH",3,NA,NA,NA,NA,3.12,0.389,64686
"PSM_24","515rcbc24","PSM","Microbe_neg","FRESH",4,NA,NA,NA,NA,2.46,1.505,62386
"PSM_26","515rcbc26","PSM","Microbe_neg","FRESH",6,NA,NA,NA,NA,2.4,1.195,70996
"PSM_27","515rcbc27","PSM","Microbe_neg","FRESH",7,NA,NA,NA,NA,3.68,1.601,73517
"PSM_28","515rcbc28","PSM","Microbe_neg","FRESH",8,NA,NA,NA,NA,1.3,0.74,49854
"PSM_29","515rcbc29","PSM","Microbe_neg","FRESH",9,NA,NA,NA,NA,0.8,0.183,41111
"PSM_30","515rcbc30","PSM","Microbe_neg","FRESH",10,NA,NA,NA,NA,0.78,0.12,52718
"PSM_31","515rcbc31","PSM","Microbe_neg","SALT",1,NA,NA,NA,NA,1.82,0.243,39082
"PSM_32","515rcbc32","PSM","Microbe_neg","SALT",2,NA,NA,NA,NA,1.04,0.827,37114
"PSM_35","515rcbc35","PSM","Microbe_neg","SALT",5,NA,NA,NA,NA,0.26,0.35,44414
"PSM_36","515rcbc36","PSM","Microbe_neg","SALT",6,NA,NA,NA,NA,1.94,0.722,51884
"PSM_37","515rcbc37","PSM","Microbe_neg","SALT",7,NA,NA,NA,NA,1.54,NA,43989
"PSM_38","515rcbc38","PSM","Microbe_neg","SALT",8,NA,NA,NA,NA,1.98,NA,53273
"PSM_39","515rcbc39","PSM","Microbe_neg","SALT",9,NA,NA,NA,NA,1.04,0.359,52196
"PSM_40","515rcbc40","PSM","Microbe_neg","SALT",10,NA,NA,NA,NA,3.12,0.575,44571
"PSM_41","515rcbc41","PSM","CONTROL","FRESH",1,NA,NA,NA,NA,0.84,0.027,43703
"PSM_42","515rcbc42","PSM","CONTROL","FRESH",2,NA,NA,NA,NA,9.8,4.375,39754
"PSM_43","515rcbc43","PSM","CONTROL","FRESH",3,NA,NA,NA,NA,4.32,2.021,35636
"PSM_44","515rcbc44","PSM","CONTROL","FRESH",4,NA,NA,NA,NA,0.06,0.057,46433
"PSM_45","515rcbc45","PSM","CONTROL","FRESH",5,NA,NA,NA,NA,1.34,0.813,45875
"PSM_46","515rcbc46","PSM","CONTROL","FRESH",6,NA,NA,NA,NA,3.06,0.621,53450
"PSM_47","515rcbc47","PSM","CONTROL","FRESH",7,NA,NA,NA,NA,2.74,0.256,42781
"PSM_48","515rcbc48","PSM","CONTROL","FRESH",8,NA,NA,NA,NA,0.22,0.065,44154
"PSM_49","515rcbc49","PSM","CONTROL","FRESH",9,NA,NA,NA,NA,3.88,1.937,90335
"PSM_50","515rcbc50","PSM","CONTROL","FRESH",10,NA,NA,NA,NA,5.78,1.882,46835
"PSM_52","515rcbc52","PSM","CONTROL","SALT",2,NA,NA,NA,NA,1.72,0.583,53224
"PSM_53","515rcbc53","PSM","CONTROL","SALT",3,NA,NA,NA,NA,1.96,0.187,51036
"PSM_54","515rcbc54","PSM","CONTROL","SALT",4,NA,NA,NA,NA,2.24,0.357,47263
"PSM_55","515rcbc55","PSM","CONTROL","SALT",5,NA,NA,NA,NA,3.38,2.048,43408
"PSM_56","515rcbc56","PSM","CONTROL","SALT",6,NA,NA,NA,NA,2.5,0.37,50092
"PSM_57","515rcbc57","PSM","CONTROL","SALT",7,NA,NA,NA,NA,2.78,1.546,44478
"PSM_58","515rcbc58","PSM","CONTROL","SALT",8,NA,NA,NA,NA,5.18,1.934,39066
"PSM_59","515rcbc59","PSM","CONTROL","SALT",9,NA,NA,NA,NA,3.76,1.122,43546
"PSM_60","515rcbc60","PSM","CONTROL","SALT",10,NA,NA,NA,NA,2.7,0.231,50231
"PSM_61","515rcbc61","PSM","seedling_plug","BASELINE",1,NA,NA,NA,NA,NA,NA,35900
"PSM_62","515rcbc62","PSM","seedling_plug","BASELINE",2,NA,NA,NA,NA,NA,NA,42447
"PSM_63","515rcbc63","PSM","seedling_plug","BASELINE",3,NA,NA,NA,NA,NA,NA,40208
"PSM_64","515rcbc64","PSM","field_soil","BASELINE",1,NA,NA,NA,NA,NA,NA,39371
"PSM_65","515rcbc65","PSM","autoclaved_field_soil","BASELINE",1,NA,NA,NA,NA,NA,NA,31
"PSM_66","515rcbc66","PSM","Microbe_pos","BASELINE",1,NA,NA,NA,NA,NA,NA,33181
"PSM_67","515rcbc67","PSM","Microbe_neg","BASELINE",1,NA,NA,NA,NA,NA,NA,34320
"PSM_68","515rcbc68","PSM","CONTROL","BASELINE",1,NA,NA,NA,NA,NA,NA,26330
"SMM_01","515rcbc70","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","1",0.38,0.32,43404
"SMM_02","515rcbc71","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","2",0.34,0.16,35981
"SMM_03","515rcbc72","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","3",1.14,1.08,53708
"SMM_04","515rcbc73","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","4",0.66,0.36,52821
"SMM_05","515rcbc74","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","5",0.68,0.76,31371
"SMM_06","515rcbc75","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","6",1.24,0.78,90652
"SMM_07","515rcbc76","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","7",0.5,0.2,47742
"SMM_08","515rcbc77","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","8",0.62,0.22,1
"SMM_09","515rcbc78","SMM",NA,NA,NA,"6/12/23","1_June12","bulk","9",0.92,0.16,33622
"SMM_10","515rcbc79","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","1",NA,NA,24062
"SMM_11","515rcbc80","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","2",NA,NA,43157
"SMM_12","515rcbc81","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","3",NA,NA,43557
"SMM_13","515rcbc82","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","4",NA,NA,103260
"SMM_14","515rcbc83","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","5",NA,NA,39575
"SMM_15","515rcbc84","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","6",NA,NA,66610
"SMM_16","515rcbc85","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","7",NA,NA,55789
"SMM_17","515rcbc86","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","8",NA,NA,52324
"SMM_18","515rcbc87","SMM",NA,NA,NA,"6/12/23","1_June12","rhiz","9",NA,NA,87029
"SMM_19","515rcbc88","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","1",0.48,0.46,60844
"SMM_20","515rcbc89","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","2",0.76,0.66,51057
"SMM_21","515rcbc90","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","3",0.12,0.06,47981
"SMM_22","515rcbc91","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","4",0.42,0.5,52862
"SMM_23","515rcbc92","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","5",0.14,0.52,80315
"SMM_24","515rcbc93","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","6",1.4,0.88,40422
"SMM_25","515rcbc94","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","7",1.94,0.78,59417
"SMM_26","515rcbc95","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","8",0.7,0.8,50793
"SMM_27","515rcbc96","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","9",1.04,0.32,34177
"SMM_28","515rcbc97","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","1",NA,NA,53798
"SMM_29","515rcbc98","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","2",NA,NA,37957
"SMM_30","515rcbc99","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","3",NA,NA,52026
"SMM_31","515rcbc100","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","4",NA,NA,45154
"SMM_32","515rcbc101","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","5",NA,NA,39640
"SMM_33","515rcbc102","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","6",NA,NA,57671
"SMM_34","515rcbc103","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","7",NA,NA,41000
"SMM_35","515rcbc104","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","8",NA,NA,46319
"SMM_36","515rcbc105","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","9",NA,NA,46447
"SMM_37","515rcbc106","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","1",3.025,0.316,35330
"SMM_38","515rcbc107","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","2",4.392,1.894,42991
"SMM_39","515rcbc108","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","3",3.942,3.069,45728
"SMM_40","515rcbc109","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","4",2.353,1.762,45018
"SMM_41","515rcbc110","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","5",1.546,1.76,38178
"SMM_42","515rcbc111","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","6",4.153,2.291,41602
"SMM_43","515rcbc112","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","7",1.145,0.811,42815
"SMM_44","515rcbc113","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","8",3.471,4.057,54263
"SMM_45","515rcbc114","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","9",0.83,2.002,20182
"SMM_46","515rcbc115","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","1",NA,NA,41348
"SMM_47","515rcbc116","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","2",NA,NA,41826
"SMM_48","515rcbc117","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","3",NA,NA,33600
"SMM_49","515rcbc118","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","4",NA,NA,34296
"SMM_50","515rcbc119","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","5",NA,NA,37329
"SMM_51","515rcbc120","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","6",NA,NA,44469
"SMM_52","515rcbc121","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","7",NA,NA,33093
"SMM_53","515rcbc122","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","8",NA,NA,83384
"SMM_54","515rcbc123","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","9",NA,NA,49935
