Sample_ID,Microbe_TRT,Water_TRT,REP,Aboveground_g,Belowground_g,shoot_to_root,change_height_mm
PSM_01,Microbe_pos,FRESH,1,6.78,0.359,18.886,54
PSM_02,Microbe_pos,FRESH,2,,,,
PSM_03,Microbe_pos,FRESH,3,2.44,1.097,2.224,18
PSM_04,Microbe_pos,FRESH,4,2.22,0.299,7.425,86
PSM_05,Microbe_pos,FRESH,5,,,,
PSM_06,Microbe_pos,FRESH,6,4.48,1.916,2.338,
PSM_07,Microbe_pos,FRESH,7,1.86,0.785,2.369,
PSM_08,Microbe_pos,FRESH,8,2.82,0.305,9.246,173
PSM_09,Microbe_pos,FRESH,9,1.14,0.444,2.568,110
PSM_10,Microbe_pos,FRESH,10,1.98,0.564,3.511,
PSM_11,Microbe_pos,SALT,1,3.48,0.586,5.939,156
PSM_12,Microbe_pos,SALT,2,2.96,1.24,2.387,205
PSM_13,Microbe_pos,SALT,3,2.5,0.838,2.983,11
PSM_14,Microbe_pos,SALT,4,5.44,4.587,1.186,270
PSM_15,Microbe_pos,SALT,5,4.64,0.766,6.057,500
PSM_16,Microbe_pos,SALT,6,2.92,0.495,5.899,15
PSM_17,Microbe_pos,SALT,7,4.4,3.07,1.433,125
PSM_18,Microbe_pos,SALT,8,2.92,0.481,6.071,60
PSM_19,Microbe_pos,SALT,9,,,,
PSM_20,Microbe_pos,SALT,10,1.24,0.195,6.359,115
PSM_21,Microbe_neg,FRESH,1,4.22,2.152,1.961,
PSM_22,Microbe_neg,FRESH,2,2.22,0.305,7.279,79
PSM_23,Microbe_neg,FRESH,3,3.12,0.389,8.021,15
PSM_24,Microbe_neg,FRESH,4,2.46,1.505,1.635,210
PSM_25,Microbe_neg,FRESH,5,,,,
PSM_26,Microbe_neg,FRESH,6,2.4,1.195,2.008,35
PSM_27,Microbe_neg,FRESH,7,3.68,1.601,2.299,135
PSM_28,Microbe_neg,FRESH,8,1.3,0.74,1.757,85
PSM_29,Microbe_neg,FRESH,9,0.8,0.183,4.372,
PSM_30,Microbe_neg,FRESH,10,,,,74
PSM_31,Microbe_neg,SALT,1,1.82,0.243,7.49,
PSM_32,Microbe_neg,SALT,2,1.04,0.827,1.258,34
PSM_33,Microbe_neg,SALT,3,,,,
PSM_34,Microbe_neg,SALT,4,,,,
PSM_35,Microbe_neg,SALT,5,,,,
PSM_36,Microbe_neg,SALT,6,1.94,0.722,2.687,210
PSM_37,Microbe_neg,SALT,7,1.54,,,
PSM_38,Microbe_neg,SALT,8,1.98,,,76
PSM_39,Microbe_neg,SALT,9,1.04,0.359,2.897,152
PSM_40,Microbe_neg,SALT,10,3.12,0.575,5.426,49
PSM_41,CONTROL,FRESH,1,,,,95
PSM_42,CONTROL,FRESH,2,9.8,4.375,2.24,120
PSM_43,CONTROL,FRESH,3,4.32,2.021,2.138,240
PSM_44,CONTROL,FRESH,4,,,,
PSM_45,CONTROL,FRESH,5,1.34,0.813,1.648,10
PSM_46,CONTROL,FRESH,6,3.06,0.621,4.928,49
PSM_47,CONTROL,FRESH,7,2.74,0.256,10.703,70
PSM_48,CONTROL,FRESH,8,,,,
PSM_49,CONTROL,FRESH,9,3.88,1.937,2.003,276
PSM_50,CONTROL,FRESH,10,5.78,1.882,3.071,179
PSM_51,CONTROL,SALT,1,,,,
PSM_52,CONTROL,SALT,2,1.72,0.583,2.95,125
PSM_53,CONTROL,SALT,3,1.96,0.187,10.481,
PSM_54,CONTROL,SALT,4,2.24,0.357,6.275,
PSM_55,CONTROL,SALT,5,3.38,2.048,1.65,45
PSM_56,CONTROL,SALT,6,2.5,0.37,6.757,56
PSM_57,CONTROL,SALT,7,2.78,1.546,1.798,106
PSM_58,CONTROL,SALT,8,5.18,1.934,2.678,30
PSM_59,CONTROL,SALT,9,3.76,1.122,3.351,140
PSM_60,CONTROL,SALT,10,2.7,0.231,11.688,